latitude;longitude
-10.2272401473865;-50.4472885519926
-10.2404870748153;-50.4220125876674
-10.2678821519033;-50.4210855491754
-10.2836030818758;-50.3969845600384
-10.2696762144607;-50.3926004893974
-10.2558879837242;-50.3926236234502
-10.2811272353135;-50.3693465753961
-10.3190067321792;-50.348365498262
-10.3396910899407;-50.3471605158604
-10.3638435439632;-50.363403470763
-10.3719148138145;-50.3750305115827
-10.3765406185432;-50.3936235844999
-10.3758828067814;-50.3960835054462
-10.3819130832076;-50.3996885620053
-10.3780684718555;-50.4651835800127
-10.3528283820759;-50.506824539751
-10.3220515423296;-50.5964775438371
-10.3089962252075;-50.6225544828305
-10.3178227045356;-50.6643025632914
-10.3217295096093;-50.6692354809528
-10.3240293362047;-50.6738815698873
-10.3240492851343;-50.6820225771731
-10.3232603804067;-50.6900294740079
-10.3249302231588;-50.6979336087097
-10.3350694761635;-50.7159535270872
-10.3447629795568;-50.7192224693287
-10.3608585806016;-50.728515485388
-10.3631674596525;-50.7296674941615
-10.3689050400195;-50.734329508712
-10.373511901647;-50.7366486136847
-10.3781125606662;-50.7424624693707
-10.3838632168022;-50.7529225816292
-10.3781246306068;-50.7668766064106
-10.3709911280837;-50.7722934951618
-10.3529923321022;-50.7962985953264
-10.3376832888521;-50.8247685676786
-10.3075635903154;-50.8583484834875
-10.2724539771756;-50.8780635579648
-10.2708030775246;-50.9434625193618
-10.2541710346762;-50.9661214858751
-10.2618535518578;-51.0370744639594
-10.241241949016;-51.083179625333
-10.1928185208599;-51.1219175967228
-10.1572789160869;-51.16960157338
-10.143170999563;-51.201496559011
-10.1464878862907;-51.2398945604077
-10.1754748544312;-51.2484015215864
-10.209810314993;-51.2415925663545
-10.237987423648;-51.2629585404828
-10.233971653833;-51.285240488991
-10.22672298396;-51.3157806237914
-10.2722028553562;-51.3390005072658
-10.2818433851215;-51.3600466279686
-10.2962731667276;-51.3597795805331
-10.3066204585692;-51.3597945003208
-10.3284859941272;-51.3563305950113
-10.366439419379;-51.3482584869697
-10.3825690509507;-51.3261944679443
-10.403305711788;-51.298324472222
-10.4228772880828;-51.2739334692348
-10.4344065959114;-51.249511620844
-10.4378664779073;-51.2285845231664
-10.4401792126337;-51.2134706106225
-10.4528404126681;-51.1983645770675
-10.4862049135651;-51.1716385434916
-10.4988580669725;-51.1576915595089
-10.5115222844921;-51.1390994924201
-10.5172846752925;-51.1169965813639
-10.5195917103247;-51.0995405974325
-10.5184465747118;-51.0634844997853
-10.5196024391607;-51.0413815887291
-10.526499236738;-51.0239405245854
-10.5391542341641;-51.0204544910515
-10.5632964622647;-51.015800523128
-10.5725648355286;-51.0210185931358
-10.580062280288;-51.0183985778387
-10.597765027449;-51.0342945219496
-10.6122730960309;-51.0596584962583
-10.6336115775167;-51.0824886212346
-10.6547621367332;-51.0982935378769
-10.6602896666064;-51.1298064763608
-10.6632194770451;-51.1296006168186
-10.6885298071734;-51.1168135205984
-10.6942915274215;-51.0807265775474
-10.6816583229437;-51.0248335325506
-10.6770526347826;-51.00270849327
-10.6862489236792;-50.9910735734613
-10.7184456578247;-50.9782796040805
-10.7609858281364;-50.9666285910177
-10.7828823767363;-50.9588086106239
-10.7920764863379;-50.9599765450134
-10.808183654409;-50.9646305129369
-10.8162297785508;-50.9692844808604
-10.8207685791245;-50.9772186227756
-10.8404873416392;-50.9886515387175
-10.8463868603757;-51.035385510468
-10.8347725600489;-51.0732425438331
-10.8081053674333;-51.1080054814573
-10.7812685250973;-51.1369015897673
-10.754370159592;-51.16345562669
-10.7449069908981;-51.1965405072968
-10.7425339064689;-51.2364615005019
-10.7382614827783;-51.2870295224064
-10.7517824984412;-51.2836226140385
-10.7759426638147;-51.2673565250831
-10.7909107312432;-51.2394176301165
-10.8070096850492;-51.2161486286895
-10.826573214717;-51.205688516431
-10.855319119322;-51.2045445542846
-10.9023680829941;-51.2167544726516
-10.9250972898561;-51.219612533999
-10.9566271597844;-51.2363164935768
-10.9554972792353;-51.279750510044
-10.9191127786214;-51.3394085383127
-10.9037257836717;-51.3668135060465
-10.8905777627004;-51.3918034798351
-10.8892998577411;-51.4305386013777
-10.8960394108146;-51.4678804829733
-10.9144340002645;-51.5107725255807
-10.9360014753453;-51.5430255861156
-10.9402152257135;-51.5722355128809
-10.9315570550013;-51.593582543908
-10.8986161754912;-51.6108854742872
-10.8642835647765;-51.6188435884455
-10.8752378740467;-51.6420026193028
