lat,lon,satelite,data
 -16.436500, -58.577200,GOES-16,2023-11-11 16:00:00
 -16.439400, -58.374800,GOES-16,2023-11-11 16:00:00
 -16.439700, -58.354500,GOES-16,2023-11-11 16:00:00
 -16.459200, -58.352500,GOES-16,2023-11-11 16:00:00
 -16.493500, -58.672200,GOES-16,2023-11-11 16:00:00
 -16.494700, -58.591300,GOES-16,2023-11-11 16:00:00
 -16.456300, -63.300400,GOES-16,2023-11-11 16:00:00
 -16.573000, -58.562900,GOES-16,2023-11-11 16:00:00
 -16.612800, -65.217100,GOES-16,2023-11-11 16:00:00
 -16.690900, -65.173500,GOES-16,2023-11-11 16:00:00
 -16.847200, -58.493200,GOES-16,2023-11-11 16:00:00
 -16.866200, -58.531700,GOES-16,2023-11-11 16:00:00
 -16.885700, -58.529600,GOES-16,2023-11-11 16:00:00
 -16.886000, -58.509300,GOES-16,2023-11-11 16:00:00
 -16.993000, -59.225500,GOES-16,2023-11-11 16:00:00
 -17.070400, -59.278000,GOES-16,2023-11-11 16:00:00
 -17.275100, -58.669800,GOES-16,2023-11-11 16:00:00
 -17.294700, -58.667700,GOES-16,2023-11-11 16:00:00
 -19.879100, -58.256600,GOES-16,2023-11-11 16:00:00
 -20.234500, -58.624700,GOES-16,2023-11-11 16:00:00
 -20.234900, -58.603900,GOES-16,2023-11-11 16:00:00
 -20.383300, -58.190100,GOES-16,2023-11-11 16:00:00
 -20.403500, -58.187300,GOES-16,2023-11-11 16:00:00
 -22.287800, -63.782600,GOES-16,2023-11-11 16:00:00
 -23.440300, -58.019200,GOES-16,2023-11-11 16:00:00
 -23.440700, -57.997800,GOES-16,2023-11-11 16:00:00
 -23.441600, -57.954900,GOES-16,2023-11-11 16:00:00
 -23.442100, -57.933500,GOES-16,2023-11-11 16:00:00
 -23.443400, -57.869200,GOES-16,2023-11-11 16:00:00
 -23.461200, -58.015900,GOES-16,2023-11-11 16:00:00
 -23.461600, -57.994500,GOES-16,2023-11-11 16:00:00
 -23.462100, -57.973100,GOES-16,2023-11-11 16:00:00
 -23.481600, -58.034000,GOES-16,2023-11-11 16:00:00
 -23.502600, -58.030700,GOES-16,2023-11-11 16:00:00
 -25.564000, -65.731900,GOES-16,2023-11-11 16:00:00
  -5.488700, -43.658900,GOES-16,2023-11-11 16:00:00
 -15.284900, -41.899800,GOES-16,2023-11-11 16:00:00
 -17.329200, -56.493800,GOES-16,2023-11-11 16:00:00
 -17.337000, -56.037200,GOES-16,2023-11-11 16:00:00
 -17.351300, -56.346200,GOES-16,2023-11-11 16:00:00
 -17.352000, -56.304700,GOES-16,2023-11-11 16:00:00
 -17.365800, -56.654500,GOES-16,2023-11-11 16:00:00
 -17.373500, -56.198400,GOES-16,2023-11-11 16:00:00
 -19.892100, -57.527700,GOES-16,2023-11-11 16:00:00
 -19.892500, -57.506800,GOES-16,2023-11-11 16:00:00
 -19.952500, -57.519500,GOES-16,2023-11-11 16:00:00
 -20.297200, -57.388200,GOES-16,2023-11-11 16:00:00
 -20.305800, -58.013200,GOES-16,2023-11-11 16:00:00
 -20.319400, -57.280400,GOES-16,2023-11-11 16:00:00
 -20.407600, -57.957700,GOES-16,2023-11-11 16:00:00
 -20.408000, -57.936800,GOES-16,2023-11-11 16:00:00
 -20.408400, -57.915900,GOES-16,2023-11-11 16:00:00
 -20.409600, -57.853200,GOES-16,2023-11-11 16:00:00
 -20.428600, -57.913200,GOES-16,2023-11-11 16:00:00
 -20.529500, -57.920200,GOES-16,2023-11-11 16:00:00
 -20.536900, -57.522000,GOES-16,2023-11-11 16:00:00
 -20.537300, -57.501000,GOES-16,2023-11-11 16:00:00
 -20.538100, -57.459000,GOES-16,2023-11-11 16:00:00
 -20.549000, -57.959300,GOES-16,2023-11-11 16:00:00
 -20.549400, -57.938300,GOES-16,2023-11-11 16:00:00
 -20.557200, -57.519100,GOES-16,2023-11-11 16:00:00
 -20.563600, -57.182700,GOES-16,2023-11-11 16:00:00
 -20.564800, -57.119400,GOES-16,2023-11-11 16:00:00
 -20.577400, -57.516300,GOES-16,2023-11-11 16:00:00
 -20.605300, -57.113600,GOES-16,2023-11-11 16:00:00
  -1.411100, -49.336100,GOES-16,2023-11-11 16:00:00
  -1.411100, -49.314900,GOES-16,2023-11-11 16:00:00
  -1.411100, -49.293700,GOES-16,2023-11-11 16:00:00
  -1.429700, -49.250900,GOES-16,2023-11-11 16:00:00
  -1.429700, -49.229700,GOES-16,2023-11-11 16:00:00
  -1.447900, -49.378000,GOES-16,2023-11-11 16:00:00
  -1.448000, -49.335600,GOES-16,2023-11-11 16:00:00
  -1.448000, -49.314400,GOES-16,2023-11-11 16:00:00
  -1.448100, -49.250600,GOES-16,2023-11-11 16:00:00
  -1.448200, -49.229400,GOES-16,2023-11-11 16:00:00
  -8.647300, -67.121800,GOES-16,2023-11-11 16:00:00
  -8.758600, -67.026300,GOES-16,2023-11-11 16:00:00
  -9.031300, -46.121900,GOES-16,2023-11-11 16:00:00
  -9.031600, -46.099300,GOES-16,2023-11-11 16:00:00
  -9.109100, -67.313900,GOES-16,2023-11-11 16:00:00
  -9.124000, -68.313000,GOES-16,2023-11-11 16:00:00
  -9.127600, -67.313400,GOES-16,2023-11-11 16:00:00
  -9.147300, -66.997400,GOES-16,2023-11-11 16:00:00
  -9.147400, -66.978900,GOES-16,2023-11-11 16:00:00
  -9.147500, -66.960300,GOES-16,2023-11-11 16:00:00
  -9.165900, -66.978400,GOES-16,2023-11-11 16:00:00
  -9.534900, -67.432500,GOES-16,2023-11-11 16:00:00
 -10.682100, -51.175500,GOES-16,2023-11-11 16:00:00
 -10.701300, -51.152400,GOES-16,2023-11-11 16:00:00
 -10.757800, -51.167800,GOES-16,2023-11-11 16:00:00
 -11.098300, -57.456600,GOES-16,2023-11-11 16:00:00
 -11.307100, -61.275600,GOES-16,2023-11-11 16:00:00
 -11.616500, -52.068900,GOES-16,2023-11-11 16:00:00
 -11.634600, -55.041900,GOES-16,2023-11-11 16:00:00
 -11.707300, -56.910900,GOES-16,2023-11-11 16:00:00
 -13.210500, -61.659100,GOES-16,2023-11-11 16:00:00
 -11.727500, -56.789200,GOES-16,2023-11-11 16:00:00
 -11.746700, -56.767600,GOES-16,2023-11-11 16:00:00
 -11.839700, -56.900100,GOES-16,2023-11-11 16:00:00
 -11.858600, -56.898500,GOES-16,2023-11-11 16:00:00
 -11.936600, -56.691700,GOES-16,2023-11-11 16:00:00
 -11.948500, -55.683300,GOES-16,2023-11-11 16:00:00
 -11.955700, -56.670000,GOES-16,2023-11-11 16:00:00
 -11.974700, -56.668400,GOES-16,2023-11-11 16:00:00
 -12.032600, -56.563100,GOES-16,2023-11-11 16:00:00
 -12.051600, -56.561500,GOES-16,2023-11-11 16:00:00
 -12.132600, -57.753700,GOES-16,2023-11-11 16:00:00
 -12.185300, -54.929700,GOES-16,2023-11-11 16:00:00
 -12.204300, -54.927900,GOES-16,2023-11-11 16:00:00
 -12.207700, -57.807300,GOES-16,2023-11-11 16:00:00
 -12.226900, -57.785900,GOES-16,2023-11-11 16:00:00
 -12.294600, -52.478500,GOES-16,2023-11-11 16:00:00
 -12.245800, -57.784400,GOES-16,2023-11-11 16:00:00
 -12.610400, -53.029400,GOES-16,2023-11-11 16:00:00
 -12.628900, -53.069100,GOES-16,2023-11-11 16:00:00
 -12.574600, -58.887600,GOES-16,2023-11-11 16:00:00
 -12.574800, -58.867800,GOES-16,2023-11-11 16:00:00
 -12.593600, -58.886100,GOES-16,2023-11-11 16:00:00
 -12.715800, -56.522900,GOES-16,2023-11-11 16:00:00
 -13.023700, -53.463100,GOES-16,2023-11-11 16:00:00
 -12.996800, -56.859700,GOES-16,2023-11-11 16:00:00
 -12.965900, -61.442500,GOES-16,2023-11-11 16:00:00
 -13.072800, -56.872900,GOES-16,2023-11-11 16:00:00
 -13.163600, -54.359100,GOES-16,2023-11-11 16:00:00
 -13.163900, -54.338500,GOES-16,2023-11-11 16:00:00
 -13.091200, -62.247800,GOES-16,2023-11-11 16:00:00
 -13.091600, -62.209100,GOES-16,2023-11-11 16:00:00
 -13.091800, -62.189800,GOES-16,2023-11-11 16:00:00
 -13.091900, -62.170400,GOES-16,2023-11-11 16:00:00
 -13.182700, -54.357100,GOES-16,2023-11-11 16:00:00
 -13.110600, -62.207900,GOES-16,2023-11-11 16:00:00
 -13.110700, -62.188600,GOES-16,2023-11-11 16:00:00
 -13.111100, -62.149900,GOES-16,2023-11-11 16:00:00
 -13.134100, -61.703000,GOES-16,2023-11-11 16:00:00
 -13.149700, -62.070000,GOES-16,2023-11-11 16:00:00
 -13.153000, -61.721100,GOES-16,2023-11-11 16:00:00
 -13.153100, -61.701700,GOES-16,2023-11-11 16:00:00
 -13.153300, -61.682300,GOES-16,2023-11-11 16:00:00
 -13.289800, -51.111900,GOES-16,2023-11-11 16:00:00
 -13.171800, -61.739300,GOES-16,2023-11-11 16:00:00
 -13.171900, -61.719800,GOES-16,2023-11-11 16:00:00
 -13.172100, -61.700400,GOES-16,2023-11-11 16:00:00
 -13.172300, -61.681000,GOES-16,2023-11-11 16:00:00
 -13.172500, -61.661600,GOES-16,2023-11-11 16:00:00
 -13.177900, -61.097500,GOES-16,2023-11-11 16:00:00
 -13.190800, -61.738000,GOES-16,2023-11-11 16:00:00
 -13.190900, -61.718600,GOES-16,2023-11-11 16:00:00
 -13.191100, -61.699200,GOES-16,2023-11-11 16:00:00
 -13.191300, -61.679800,GOES-16,2023-11-11 16:00:00
 -13.191500, -61.660300,GOES-16,2023-11-11 16:00:00
 -13.191700, -61.640900,GOES-16,2023-11-11 16:00:00
 -13.225300, -58.438900,GOES-16,2023-11-11 16:00:00
 -13.209700, -61.736700,GOES-16,2023-11-11 16:00:00
